transliteration,sorting,period,morphology,number,person,class,affix,semantics,root ≠ base,base,pagenumber,adjectival use,classifier_front,classifier_end,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_MEGA,certainty-weight_MEGA,proper_name_context,contributor,validator,lang_context,loan_lang,unicode,Wordnet,Notes,POS,variant,cognate,case,conjugation,mode,voice,frequency,rich
e-ri-tum4-na,eritumna,mE,brick-GEN,,,,,,,erintum,,,,,,-na;postp.gen,,,of bricks,1,brick,1,,f,,,Akk,,,,noun,e-ri-en-tu4-um-na,,,,,,1,"<qt><font color=""#690000"">e</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">tum<sub><small>4</small></sub></font>-na</qt>"
hw.qa-am-na-ib-be,gaamnaibbe,nE,kamna-PL,Sg.,3rd Anim.,,,,,Kamna-p,406,x,BE,,,-p;3pl.an,,,nach Art der Leute von Kamna,0.5,,,,IC,,,,,,,adjective,,,,,,,1,"<qt><font color=""#de0000"">hw</font>.<font color=""#9b0000"">ka<small>4</small></font>-am-na-<font color=""#690000"">ib</font>-<font color=""#de0000"">be</font></qt>"
qa-ap-pa-ak,gaappaak,nE,include-PASS.PTCP,,,,,,,kapa,,,,,,-k-;ii,,,enclosed,0.7,to enclose,0.7,,f,,,,,,,verb,,,,,,,1,
qa-ap-pi-tan-na,gaappitanna,achE,kappa-tinna,,,,,,,kapa-t-na,408,x,,,,-t;3sg.inan,-na;postp.gen,,ganz ,1,,,,IC,,,,,,,adjective,kap-pa-tin-na,,,,,,1,"<qt><font color=""#9b0000"">ka<small>4</small></font>-<font color=""#9b0000"">ap</font>-<font color=""#de0000"">pi</font>-<font color=""#c30000"">tan</font>-na</qt>"
hh.qa-at-ba-du-kaš,gaatbadukas~,achE,Cappadocia-š,,,,,,,Katpatuka,410,x,HAL,,,-š;op.loan,,,Kappadokisch,1,,,choronym,IC,,,OP,,,,adjective,v.qa-ut-ba-du-qa,katpatuka,,,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">at</font>-<font color=""#9b0000"">ba</font>-<font color=""#9b0000"">du</font>-<font color=""#de0000"">kaš</font></qt>"
h.qa-bar-ap-ya-iš,gabarapyais~,achE,Kapirapi-ya-š,,,,,,,Kaparap,412,x,AŠ,,,-ya;adj,-š;op.loan,,Adjektivform (der Zugehörigkeit) zum vorigen Stichwort.,1,person of Hafr,,,IC,,,OP,,,,adjective,h.qa-bar-ap-iš,,,,,,1,"<qt><font color=""#c30000"">h</font>.<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#de0000"">bar</font>-<font color=""#9b0000"">ap</font>-<font color=""#9b0000"">ya</font>-iš</qt>"
qa-ba-ut-tuk-qa,gabauttukqa,achE,,,,,,,,kapautaka,413,x,,,,,,,blau,1,,,,IC,,,OP,,,,adjective,qa-ba-u-[da-qa],,,,,,,"<qt><font color=""#9b0000"">ka<small>4</small></font>-<font color=""#9b0000"">ba</font>-<font color=""#d50000"">ut</font>-<font color=""#b40000"">tuk</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
qa-ba-u-[da-qa],gabaudaqa,achE,kapautaka,,,,,,,kapautaka,413,x,,,,,,,blau,,,,,IC,,,OP,,,,adjective,qa-ba-ut-tuk-qa,kapautaka,,,,,,"<qt><font color=""#9b0000"">ka<small>4</small></font>-<font color=""#9b0000"">ba</font>-<font color=""#9b0000"">u</font>-<font color=""#9b0000"">da</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
kak-la-qa,gaklaqa,nE,kakla-ka,,,,,,,kakla-,,,,,,-k-;ii,,,embroidered,0.5,to embroider,0.5,,f,,,,,,,verb,,,,,,,7,"<qt><font color=""#b40000"">kak</font>-la-<font color=""#9b0000"">ka<small>4</small></font></qt>"
kak-pi-in,gakpiin,nE,,,,,,,,kakpi,419,x,,,,-n;3sg.inan,,,leicht,0.5,,,,IC,,,,,,,adjective,,,,,,,7,"<qt><font color=""#b40000"">kak</font>-<font color=""#de0000"">pi</font>-in</qt>"
GAL,gal,,great,,,,,,,riša,420,x,,,Sum,,,,groß,1,,,,IC,,,,,,,adjective,,,,,,,6,"<qt><font color=""#c30000"">GAL</font></qt>"
qa-me-za-be-na,gamezabena,achE,kāmaiča-PL-na,,,,,,,Kameza-p,426,x,,,,-p;3pl.an,-na;postp.gen,,von den Leuten des Kamaica,1,,,,IC,,,,,,,adjective,hh.qa-me-za,,,,,,1,"<qt><font color=""#9b0000"">ka<small>4</small></font>-<font color=""#9b0000"">me</font>-<font color=""#690000"">za</font>-<font color=""#de0000"">be</font>-na</qt>"
qa-pi-da-na,gapidana,achE,kappa-tinna,,,,,,,kapa-t-na,433,x,,,,-na;postp.gen,,," ganz, gänzlich",1,,,,IC,,,,,,,adjective,kap-pa-tin-na,,,,,,,"<qt><font color=""#9b0000"">ka<small>4</small></font>-<font color=""#de0000"">pi</font>-<font color=""#9b0000"">da</font>-na</qt>"
qa-pa-qa-pa-qa,gapaqapaqa,achE,kappa-kappa-ka,,,,,,,kapa-t-na,433,x,,,,-k;1sg.an,,,gänzlich,1,,,,IC,,,,,,,adjective,2.kap-pa-qa,,,,,,1,"<qt><font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">pa</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">pa</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
qa-pi-ud-da,gapiudda,achE,kappa-tinna,,,,,,,kapa-t-na,434,,,,,-ta; adv,,,"ganz, gänzlich",1,,,,IC,,,,,,,adjective,kap-pa-tin-na,,,,,,,"<qt><font color=""#9b0000"">ka<small>4</small></font>-<font color=""#de0000"">pi</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font></qt>"
kap-pa-at-na,gappaatna,achE,whole-GEN,,,,,,,kapa-t-na,434,x,,,,-na;postp.gen,,,ganz,1,,,,IC,,,,,,,adjective,kap0-pa-tin-na,,,,,,5,"<qt><font color=""#690000"">kap<sub><small>0</small></sub></font>-<font color=""#690000"">pa</font>-<font color=""#690000"">at</font>-na</qt>"
kap-pa-qa,gappaqa,achE,whole-RED,Sg.,1st,,,,,kapa-,,,,,,-k-;ii,,,"in total, wholly",0.7,"to enclose, include",0.7,,f,,,,,,,verb,qa-pa-qa-pa-qa,,,,,,2,"<qt><font color=""#690000"">kap<sub><small>0</small></sub></font>-<font color=""#690000"">pa</font>-<font color=""#b40000"">qa</font></qt>"
kap-pa-tan-na,gappatanna,achE,whole-GEN,,,,,,,kapa-t-na,435,x,,,,-na;postp.gen,,,ganz,1,,,,IC,,,,,,,adjective,kap0-pa-tin-na,,,,,,5,"<qt><font color=""#690000"">kap<sub><small>0</small></sub></font>-<font color=""#690000"">pa</font>-<font color=""#c30000"">tan</font>-na</qt>"
kap-pa-tin,gappatin,achE,whole,,,,,,,kapa-t-na,436,x,,,,,,,ganz,1,,,,IC,,,,,,,adjective,kap0-pa-tin-na,,,,,,1,"<qt><font color=""#690000"">kap<sub><small>0</small></sub></font>-<font color=""#690000"">pa</font>-<font color=""#9b0000"">tin</font></qt>"
kap-pa-tin-na,gappatinna,achE,whole-GEN,,,,,,,kapa-t-na,436,x,,,,-na;postp.gen,,,ganz,1,,,,IC,,,,,,,adjective,"qa-ap-pi-tan-na, qa-pi-da-na, qa-pi-ud-da, kap0-pa-at-na, kap0-pa-tan-na, kap0-pa-tin, kap0-pa-ud-da-mi, kap0-pa-ut-na, kap0-pa-ut-tan-na, kap0-pa-ut-tin-na, kap0-pi-tan-na, kap0-pi-tin-na, kap0-tin-na",,,,,,14,"<qt><font color=""#690000"">kap<sub><small>0</small></sub></font>-<font color=""#690000"">pa</font>-<font color=""#9b0000"">tin</font>-na</qt>"
kap-pa-ud-da-mi,gappauddami,achE,whole,,,,,,,kapa-t,436,x,,,,-me;3sg.inan,,,ganz,1,,,,IC,,,,,,,adjective,kap0-pa-tin-na,,,,,,1,"<qt><font color=""#690000"">kap<sub><small>0</small></sub></font>-<font color=""#690000"">pa</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font>-mi</qt>"
kap-pa-ut-na,gappautna,achE,whole,,,,,,,kapa-t-na,436,x,,,,-na;postp.gen,,,ganz,1,,,,IC,,,,,,,adjective,kap0-pa-tin-na,,,,,,7,"<qt><font color=""#690000"">kap<sub><small>0</small></sub></font>-<font color=""#690000"">pa</font>-<font color=""#d50000"">ut</font>-na</qt>"
kap-pa-ut-tan-na,gappauttanna,achE,whole-GEN,,,,,,,kapa-t-na,436,x,,,,-na;postp.gen,,,ganz,1,,,,IC,,,,,,,adjective,kap0-pa-ut-na,,,,,,1,"<qt><font color=""#690000"">kap<sub><small>0</small></sub></font>-<font color=""#690000"">pa</font>-<font color=""#d50000"">ut</font>-<font color=""#c30000"">tan</font>-na</qt>"
kap-pa-ut-tin-na,gappauttinna,achE,whole-GEN,,,,,,,kapa-t-na,436,x,,,,-na;postp.gen,,,ganz,1,,,,IC,,,,,,,adjective,kap0-pa-ut-tan-na,,,,,,1,"<qt><font color=""#690000"">kap<sub><small>0</small></sub></font>-<font color=""#690000"">pa</font>-<font color=""#d50000"">ut</font>-<font color=""#9b0000"">tin</font>-na</qt>"
kap-pi-tan-na,gappitanna,achE,whole-GEN,,,,,,,kapa-t-na,436,x,,,,-na;postp.gen,,,ganz,1,,,,IC,,,,,,,adjective,kap0-pa-tin-na,,,,,,3,"<qt><font color=""#690000"">kap<sub><small>0</small></sub></font>-<font color=""#de0000"">pi</font>-<font color=""#c30000"">tan</font>-na</qt>"
kap-pi-tin-na,gappitinna,achE,whole-GEN,,,,,,,kapa-t-na,436,x,,,,-na;postp.gen,,,ganz,1,,,,IC,,,,,,,adjective,kap0-pa-tin-na,,,,,,1,"<qt><font color=""#690000"">kap<sub><small>0</small></sub></font>-<font color=""#de0000"">pi</font>-<font color=""#9b0000"">tin</font>-na</qt>"
kap-tin-na,gaptinna,achE,whole,,,,,,,kapa-t-na,436,x,,,,-na;postp.gen,,,ganz,1,,,,IC,,,,,,,adjective,kap0-pa-tin-na,,,,,,3,"<qt><font color=""#690000"">kap<sub><small>0</small></sub></font>-<font color=""#9b0000"">tin</font>-na</qt>"
qa-ra,gara,achE,old,,,,,,,kara,437,x,,,,,,,alt,1,,,,IC,,,,,,,adjective,,,,,,,1,
qa-ri-iz-za-qa,gariizzaqa,achE,karizaka,,,,,,,karizaka,441,x,,,,,,,räudig,0.5,,,,IC,,,,,,,adjective,qa-ri-za-qa,,,,,,3,"<qt><font color=""#9b0000"">ka<small>4</small></font>-<font color=""#9b0000"">ri</font>-<font color=""#b40000"">iz</font>-<font color=""#690000"">za</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
ha-ni-ik,haniik,mE; nE,love-PASS.PTCP,,,,-k,,,hani-,,,,,,-k-;ii,,,loved,1,to love,1,,f,,,,,,,adjective,,,,,,,,"<qt><font color=""#690000"">ha</font>-<font color=""#c30000"">ni</font>-<font color=""#c30000"">ik</font></qt>"
qa-ri-za-qa,garizaqa,achE,,,,,,,,karizaka,442,x,,,,,,,räudig,0.5,,,,IC,,,,,,,adjective,qa-ri-iz-za-qa,,,,,,1,"<qt><font color=""#9b0000"">ka<small>4</small></font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">za</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
kar-su-qa,garsuqa,achE,karsu-ka,,,,-k,,,karsu-,,,,,,-k-;ii,,,"painted, colored, colorful",0.5,to paint,0.5,,f,,,,,,,verb,,,,,,,20,"<qt><font color=""#690000"">kar</font>-<font color=""#690000"">su</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
kás-su-na,gassuna,nE,horn-GEN,,,,-na,,,kasu,,,,,,-na;postp.gen,,,"(made) of horn, horny",1,horn,1,,f,,,,,,,noun,kás-su,,,,,,8,"<qt><font color=""#00ff00"">kás</font>-<font color=""#690000"">su</font>-na</qt>"
qa-zí-e,gazie,achE,kaz2-3SG.POSS?,Sg.,1st,,,,,kazi,457,x,,,,-e;poss,,,zustehend,0.5,,,,IC,,,,,,,adjective,,,,,,,1,"<qt><font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">zí</font>-<font color=""#690000"">e</font></qt>"
ki-du-ú-ya,giduuya,mE,outside-ADJ,,,,,,,kidu-ya,463,x,,,,-ya;adj,,,äußer,1,,,,IC,,,Akk,,,,adjective,ki-tu4-um-ma,,,,,,5,"<qt><font color=""#690000"">ki</font>-<font color=""#9b0000"">du</font>-<font color=""#9b0000"">ú</font>-<font color=""#9b0000"">ya</font></qt>"
2.ki-ik-ki,giikki,nE,,,,,,,,kiki,466,,,,,-k-;ii,,,gewölöt,1,,,,IC,,,,,,,adjective,,,,,,,2,"<qt><font color=""#690000"">ki</font>-<font color=""#c30000"">ik</font>-<font color=""#690000"">ki</font></qt>"
ki-ir-ma-qa,giirmaqa,achE,ki-SG-LOC-ki,,,,"-k, -ma",,,kir,,,,,,,,,,,,,,,,,,,,,adjective,ki-ir,,,,,,2,"<qt><font color=""#690000"">ki</font>-ir-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
ki-iš.qa-ad-du-um-man-na,giis~qaadduummanna,nE,giš,,,,,,,kat-ma-na,,,,,,,,,,,,,,,,,,,,,adjective,,giš,,,,,1,"<qt><font color=""#690000"">ki</font>-iš.<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">ad</font>-<font color=""#9b0000"">du</font>-<font color=""#690000"">um</font>-<font color=""#690000"">man</font>-na</qt>"
gi-iz-za-ma-na,giizzamana,achE,,,,,,,,kaza-,,,,,,-ma-;aux,-n-;iii,,"chisel out, hammer out",0.7,"to smite, carve",1,,f,,,,,,,verb,,,,,,,1,"<qt><font color=""#9b0000"">gi</font>-<font color=""#b40000"">iz</font>-<font color=""#690000"">za</font>-<font color=""#b40000"">ma</font>-na</qt>"
ki-ki-in,gikiin,oE,heaven-GEN,,,,,,,kik,,,,,,-n;3sg.inan,,,of the sky,1,sky,1,,f,,,,,,,noun,2.ki-ik,,,,,,1,"<qt><font color=""#690000"">ki</font>-<font color=""#690000"">ki</font>-in</qt>"
ki-ki-ip,gikiip,oE; mE; nE,heaven-PL,Pl.,3rd Anim.,,,,,kik,,,,,,-p;3pl.an,,,the ones of sky,0.5,sky,1,,f,,,,,,,noun,2.ki-ik,,,,,,3,"<qt><font color=""#690000"">ki</font>-<font color=""#690000"">ki</font>-<font color=""#690000"">ip</font></qt>"
k[i]-ki-[ir]-r[a],gikiirra,mE,heaven-3SG.AGR,Sg.,3rd Anim.,,,,,kik,,,,,,-r;3sg.an,,,that of sky,1,sky,1,,f,,,,,,,noun,2.ki-ik,,,,,,1,"<qt><font color=""#690000"">ki</font>-<font color=""#690000"">ki</font>-ir-<font color=""#690000"">ra</font></qt>"
gi-sa-at-ir-ra,gisaatirra,nE,geϑat-SG,,,,,,,Kisat-r,,,,,,-r;3sg.an,,,the one of Geϑat,1,"Kisatian, a person from Kisat",1,toponym,f,,,,,,,noun,h.gi-sa-at,,,,,,1,"<qt><font color=""#9b0000"">gi</font>-<font color=""#690000"">sa</font>-<font color=""#690000"">at</font>-ir-<font color=""#690000"">ra</font></qt>"
ku-du-um,guduum,mE,outside-LOC,,,,,,,kidu,,,,,,-ma;postp.loc,,,outer,0.5,outside,0.7,,f,,,Akk,,,,noun,"ku-du-um-ma, ki-tu4-um-ma",,,,,,1,"<qt><font color=""#d50000"">ku</font>-<font color=""#9b0000"">du</font>-<font color=""#690000"">um</font></qt>"
ku-du-um-ma,guduumma,mE,outside-LOC,,,,-ma,,,kidu,,,,,,-ma;postp.loc,,,outer,0.5,outside,0.7,,f,,,Akk,,,,noun,"ku-du-um-ma, ki-tu4-um-ma",,,,,,1,"<qt><font color=""#d50000"">ku</font>-<font color=""#9b0000"">du</font>-<font color=""#690000"">um</font>-<font color=""#b40000"">ma</font></qt>"
ku-ip-šu-na,guips~una,achE,kipši-na,,,,-na,,,kupšu,,,,,,-na;postp.gen,,,goats (as a collective term),1,goat,1,,f,,,,,,,noun,ki-ip-ši-na,,,,,,7,"<qt><font color=""#d50000"">ku</font>-<font color=""#690000"">ip</font>-<font color=""#9b0000"">šu</font>-na</qt>"
ma-at,maat,achE,,,,,,,,mat,,,,,,,,,,,,,,,,,,,,,adjective,ma-ud-da,,,,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#690000"">at</font></qt>"
ku-li,guli,nE,,,,,,,,kuli,,,,,,,,,,,,,,,,,,,,,adjective,ku-li.me-te-en,,,,,,1,"<qt><font color=""#d50000"">ku</font>-li</qt>"
gú-lu,gulu,oE,prayer?,,,,,,,kulu,,,,,,,,,supplicating,0.5,,,,f,,,,,,,noun,,,,,,,1,"<qt><font color=""#690000"">gú</font>-<font color=""#690000"">lu</font></qt>"
ku-lu-ir,guluir,nE,,,,,,,,kulur,,,,,,,,,,,,,,,,,,,,,adjective,,,,,,,,"<qt><font color=""#d50000"">ku</font>-<font color=""#690000"">lu</font>-ir</qt>"
ku-ra-ak,guraak,oE; mE,burn2-PASS.PTCP,,,,-k,,,kura-,,,,,,-k-;ii,,,"scorched, roasted",0.5,to roast,0.5,,f,,,,,,,verb,,,,,,,1,"<qt><font color=""#d50000"">ku</font>-<font color=""#690000"">ra</font>-<font color=""#690000"">ak</font></qt>"
kur-da,gurda,achE,krta,,,,,,,krta,520,x,,,,,,,gemacht,1,to make,1,,IC,f,,OP,,,,verb,,krta,,,,,,"<qt><font color=""#cd0000"">kur</font>-<font color=""#9b0000"">da</font></qt>"
kur-da-ši-qa-ra-ap,gurdas~iqaraap,achE,,Pl.,3rd Anim.,,,,,krtašikara,521,,,,,-p;3pl.an,,,unknown,0.5,,,,IC,f,,OP,,,,noun,,,,,,,1,"<qt><font color=""#cd0000"">kur</font>-<font color=""#9b0000"">da</font>-<font color=""#c30000"">ši</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">ra</font>-<font color=""#9b0000"">ap</font></qt>"
kur-qa?,gurqa,achE,,,,,,,,kurka,529,x,,,,,,,bezeichnet anscheinend eine Eigenschaft von Gerste,0.5,,,,IC,f,,,,,,adjective,,,,,,,,"<qt><font color=""#cd0000"">kur</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
GURUŠ.lg,gurus~,achE,male,,,,,,,bali,535,x,,MEŠ,Sum,,,,männlich,1,,,,IC,f,,,,,,adjective,,,,,,,1,"<qt><font color=""#c30000"">GURUŠ</font>.<font color=""#690000"">lg</font></qt>"
na-sir,nasir,nE; achE,daily,,,,,,,nan.sir,994,,,,,,,,täglich,1,,,,IC,f,,,,,,adverb,na-sir-na,,,,,,1,"<qt>na-<font color=""#690000"">sir</font></qt>"
na-sir-ir-na,nasirirna,achE,,,,,,,,nan.sir,994,,,,,-r;3sg.an,-na;postp.gen,,täglich,1,,,,IC,f,,,,,,adverb,,,,,,,,"<qt>na-<font color=""#690000"">sir</font>-ir-na</qt>"
ku-ul-la-ma,guullama,mE,prayer-in,,,,-ma,,,kula,562,,,,,-ma;postp.loc,,,im Gebet,1,prayer,1,,IC,f,,,,,,noun,,,,,,,,"<qt><font color=""#d50000"">ku</font>-ul-la-<font color=""#b40000"">ma</font></qt>"
ku-ul-la-na,guullana,achE,,,,,,,,kula,562,x,,,,-n-;iii,,,"nähere Bezeichnung von Pferden, vielleicht zu mästende",0.5,,,,IC,f,,,,,,verb,ku-li-na,,,,,,,"<qt><font color=""#d50000"">ku</font>-ul-la-na</qt>"
ku-ur-ru,guurru,mE,caring?,,,,,,,kuru,566,,,,,,,,pflegend,0.5,,,,IC,f,,,,,,noun,,,,,,,1,"<qt><font color=""#d50000"">ku</font>-<font color=""#b40000"">ur</font>-<font color=""#b40000"">ru</font></qt>"
ku-ur-te-na,guurtena,mE,bitumen-GEN,,,,-na,,,kurte,566,x,,,,-na;postp.gen,,,mit Bitumen,0.5,bitumen,0.5,,f,,,,,,,noun,,,,,,,,"<qt><font color=""#d50000"">ku</font>-<font color=""#b40000"">ur</font>-te-na</qt>"
ku-ut-tuk-ki-ip,guuttukkiip,achE,preserve-PASS.PTCP-PL,Pl.,3rd Anim.,,-k,,,kutu-,570,x,,,,-k-;ii,-p;3pl.an,,"gehegte, gezüchtete",0.5,"to nurture, to bred",0.5,,f,,,,,,,verb,,,,,,,,"<qt><font color=""#d50000"">ku</font>-<font color=""#d50000"">ut</font>-<font color=""#b40000"">tuk</font>-<font color=""#690000"">ki</font>-<font color=""#690000"">ip</font></qt>"
ku-ú-ut,guuut,mE,in.vain,,,,,,,kut,570,,,,,,,,vergebens,1,,,,f,,,,,,,adverb,,,,,,,1,"<qt><font color=""#d50000"">ku</font>-<font color=""#9b0000"">ú</font>-<font color=""#d50000"">ut</font></qt>"
ha-aš-du-uk,haas~duuk,oE,honour-PASS.PTCP,,,,"-k, -du",,,haštu-,580,x,,,,-k-;ii,,,verehrt,1,"to honour, to revere",1,,f,,,,,,,verb,ha-áš-tu4-uk,,,,,,,"<qt><font color=""#690000"">ha</font>-<font color=""#c30000"">aš</font>-<font color=""#9b0000"">du</font>-<font color=""#9b0000"">uk</font></qt>"
ha-iz-za-ik-qa,haizzaikqa,achE,big,Sg.,1st,,-k,,,hazak,592,x,,,,-k-;ii,,,"groß, gewaltig",1,,,,f,,,,,,,adjective,"az-za-qa, ha-za-qa",,,,,,1,"<qt><font color=""#690000"">ha</font>-<font color=""#b40000"">iz</font>-<font color=""#690000"">za</font>-<font color=""#c30000"">ik</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
ha-la-at-ya,halaatya,mE,clay-ADJ,,,,,,,halat,595,x,,,,-ya;adj,,,aus Lehmziegeln,1,mudbricks,1,,f,,,,,,,noun,ha-la-at,,,,,,,"<qt><font color=""#690000"">ha</font>-la-<font color=""#690000"">at</font>-<font color=""#9b0000"">ya</font></qt>"
ha-la-ti-ni-me,halatinime,mE,halat-ni2-INANIM.AGR,,,,,,,halat,595,x,,,,-ni;postp.gen,-me;3sg.inan,,"aus Ton, Lehm",1,"Clay, mudbricks",1,,f,,,,,,,noun,ha-la-at,,,,,,1,"<qt><font color=""#690000"">ha</font>-la-<font color=""#690000"">ti</font>-<font color=""#c30000"">ni</font>-<font color=""#9b0000"">me</font></qt>"
hal-ba,halba,nE; achE,dead,,,,,,,halpu-,"595, 596",x,,,,,,,"tot, gestorben (eines natürlichen Todes), verendet (bei Tieren)",1,"to kill, to slaughter",1,,f,,,,,,,verb,,,,,,,,"<qt><font color=""#9b0000"">hal</font>-<font color=""#9b0000"">ba</font></qt>"
hal-ba-ip?,halbaip,achE,dead-PL,Pl.,3rd Anim.,,,,,halpu-,596,x,,,,-p;3pl.an,,,geschlachtete [Tiere],1,"to kill, to slaughter",1,,f,,,,,,,verb,hal-ba,,,,,,,"<qt><font color=""#9b0000"">hal</font>-<font color=""#9b0000"">ba</font>-<font color=""#690000"">ip</font></qt>"
hal-sa-ba,halsaba,achE,maintain,Pl.,3rd Anim.,,,,,halsa-,608,x,,,,-p;3pl.an,,,[auf die Weide] getriebene [Tiere],1,"to drive (if animal: to pasture), to drive out, to expell",0.5,,f,,,,,,,verb,hal-sa-ib-ba,,,,,,1,"<qt><font color=""#9b0000"">hal</font>-<font color=""#690000"">sa</font>-<font color=""#9b0000"">ba</font></qt>"
hal-sa-ak,halsaak,mE,maintain-PASS.PTCP,,,,-k,,,halsa-,608,x,,,,-k-;ii,,,landvertrieben,1,"to drive (if animal: to pasture), to drive out, to expell",,,f,,,,,,,verb,,,,,,,,"<qt><font color=""#9b0000"">hal</font>-<font color=""#690000"">sa</font>-<font color=""#690000"">ak</font></qt>"
hal-sa-ib-ba,halsaibba,achE,maintain-PL,Pl.,3rd Anim.,,,,,halsa-,608,x,,,,-p;3pl.an,,,[auf die Weide] getriebene [Tiere],1,"to drive (if animal: to pasture), to drive out, to expell",,,f,,,,,,,verb,hal-sa-ba,,,,,,,"<qt><font color=""#9b0000"">hal</font>-<font color=""#690000"">sa</font>-<font color=""#690000"">ib</font>-<font color=""#9b0000"">ba</font></qt>"
hal-sa-ip,halsaip,achE,maintain-PL,Pl.,3rd Anim.,,,,,halsa-,608,x,,,,-p;3pl.an,,,[auf die Weide] getriebene [Tiere],1,"to drive (if animal: to pasture), to drive out, to expell",,,f,,,,,,,verb,hal-sa-ib-ba,,,,,,,"<qt><font color=""#9b0000"">hal</font>-<font color=""#690000"">sa</font>-<font color=""#690000"">ip</font></qt>"
hal.qa-taš,halqatas~,nE,land-enthroned?,,,,,,,hal.qata-š,607,x,,,,-š;3sg.vb,,,"land-thronend, land-belebend","1, 0.5",,,,f,,,,,,,noun,,,,,,,1,"<qt><font color=""#9b0000"">hal</font>.<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#b40000"">taš</font></qt>"
ha-mi-it,hamiit,mE,true?,,,,,,,hamit,614,x,,,,,,,treu,0.5,,,,f,,,,,,,noun,"hh.ha-mi-ut, ha-mi-ti",,,,,,1,"<qt><font color=""#690000"">ha</font>-mi-<font color=""#690000"">it</font></qt>"
ha-mi-ti,hamiti,oE; nE,true??,,,,,,,hamit,614,x,,,,,,,treu,0.5,,,,f,,,,,,,noun,ha-mi-it,,,,,,,"<qt><font color=""#690000"">ha</font>-mi-<font color=""#690000"">ti</font></qt>"
ha-mi-it-ú-ri-me,hamiiturime,mE,true?-1AG-3SG.AGR-INANIM.AGR,,,,,,,NOT PRESENT,,,,,,,,,,,,,,f,,,,,,,adjective,"hh.ha-mi-ut, ha-mi-ti",,,,,,1,"<qt><font color=""#690000"">ha</font>-mi-<font color=""#690000"">it</font>-<font color=""#9b0000"">ú</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">me</font></qt>"
ha-pu-qa,hapuqa,achE,,,,,,,,apuka,622,x,,,,,,,"vordem, früher",1,,,,f,,,,,,,adverb,ap-pu-qa,,,,,,,"<qt><font color=""#690000"">ha</font>-<font color=""#9b0000"">pu</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
[ha-ri-i]k-kán,hariikkan,achE,bad(OP),,,,,,,arika-,628,x,,,,-n-;iii,,,"treulos, böse",1,to be hostile,0.5,,f,,,OP,,,,verb,,arīka,,,,,,"<qt><font color=""#690000"">ha</font>-<font color=""#9b0000"">ri</font>-<font color=""#c30000"">ik</font>-<font color=""#690000"">kán</font></qt>"
ha-ri-ik-ki,hariikki,achE,hariki,,,,,,,hariki,628,x,,,,,,,"wenig, gering",1,,,,f,,,,,,,adjective,ha-ri-ik-ki-ip,,,,,,,"<qt><font color=""#690000"">ha</font>-<font color=""#9b0000"">ri</font>-<font color=""#c30000"">ik</font>-<font color=""#690000"">ki</font></qt>"
ha-ri-ik-ki-ip,hariikkiip,achE,hariki-PL,Pl.,3rd Anim.,,,,,hariki,628,x,,,,-p;3pl.an,,,wenige,1,,,,f,,,,,,,adjective,"ha-ri-ki-ip, ha-ri-ik-ki",,,,,,,"<qt><font color=""#690000"">ha</font>-<font color=""#9b0000"">ri</font>-<font color=""#c30000"">ik</font>-<font color=""#690000"">ki</font>-<font color=""#690000"">ip</font></qt>"
2.ha-ri-ik-qa,hariikqa,achE,bad(OP),Sg.,1st,,,,,arika,628,x,,,,,,,"treulos, böse",1,,,,f,,,OP,,,,adjective,[ha-ri-i]k-kán,arīka,,,,,1,"<qt><font color=""#690000"">ha</font>-<font color=""#9b0000"">ri</font>-<font color=""#c30000"">ik</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>"
