transliteration,sorting,period,morphology,number,person,class,affix,semantics,root ≠ base,base,pagenumber,adjectival use,classifier_front,classifier_end,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_MEGA,certainty-weight_MEGA,proper_name_context,contributor,validator,lang_context,loan_lang,unicode,Wordnet,Notes,POS,variant,cognate,case,conjugation,mode,voice,frequency,rich
da-mi,dami,nE; achE,foremost,,,,,,,ta-me,277,x,,,,-me;3sg.inan,,,"erst, vorder",1,,,,IC,f,,,,,,adjective,,,,,,,16,"<qt><font color=""#9b0000"">da</font>-mi</qt>"
da-mi-nu,daminu,achE,,,,,,,,ta-me,277,x,,,,-me;3sg.inan,-n;3sg.inan,,"ursprünglich wohl vorder, übertragen treu ergeben",1,,,,IC,f,,,,,,adjective,da-mi,,,,,,,"<qt><font color=""#9b0000"">da</font>-mi-nu</qt>"
2.tan,dan,achE,tan2,,,,,,,tan,280,x,,,,,,,halb,1,,,,f,,,,,,,adjective,"tan.QA, tan-na",,,,,,1,"<qt><font color=""#c30000"">tan</font></qt>"
da-na,dana,achE,since?,,,,,,,ta-na,281,,,,,-na;postp.gen,,,namlich,0.5,,,,IC,f,,,,,,adverb,,,,,,,3,"<qt><font color=""#9b0000"">da</font>-na</qt>"
da-ni-na,danina,mE; nE,tan-ACT.PTCP,Sg.,1st,,,,,tani-,282,,,,,-n-;iii,,,gehorcht habend,0.5,to obey,0.5,,IC,f,,,,,,verb,tan,,,,,,1,"<qt><font color=""#9b0000"">da</font>-<font color=""#c30000"">ni</font>-na</qt>"
tan-na-an,dannaan,,obey-ACT.PTCP,,,,,,,tani-,283,,,,,-n-;iii,,,gehorchend,1,to obey,0.5,anthroponym,IC,f,,,,,,verb,"hw.hu-ban.tan-na-an, v.tan-na-an.d.pi-ni-gìr",,,,,,1,"<qt><font color=""#c30000"">tan</font>-na-<font color=""#c30000"">an</font></qt>"
GIŠ.na-u-zí-iš-in-na,nauziis~inna,achE,pine-GEN,,,,,,,nauziš,995,x,GIŠ,,,-na;postp.gen,,,aus Pinienholz,1,pine wood,,,IC,f,,OP,,,,adjective,GIŠ.na-u-zí-iš,naučiš,,,,,1,"<qt><font color=""#b40000"">GIŠ</font>.na-<font color=""#9b0000"">u</font>-<font color=""#690000"">zí</font>-iš-in-na</qt>"
te-en-ta-ar,deentaar,mE,tribute-tarm,,,,,,,tenta,306,x,,,,-r;3sg.an,,,"segensvoll, huldvoll",0.5,,,,IC,f,,,,,,adjective,"te-en, te-e-me",,,,,,2,"<qt>te-<font color=""#690000"">en</font>-ta-ar</qt>"
te-en-tar-ri,deentarri,mE,tribute-tarm,,,,,,,tenta,306,x,,,,-r;3sg.an,,,"segensvoll, huldreich",0.5,,,,IC,f,,,,,,adjective,te-en-ta-ar,,,,,,1,"<qt>te-<font color=""#690000"">en</font>-<font color=""#c30000"">tar</font>-<font color=""#9b0000"">ri</font></qt>"
ha-aš-ti-ik,haas~tiik,oE,honour-PASS.PTCP,,,,"-k, -du",,,haštu-,581,x,,,,-k-;ii,,,verehrt,1,to honour,1,,f,,Akk,,,,,verb,ha-áš-tu4-uk,,,,,,,"<qt><font color=""#690000"">ha</font>-<font color=""#c30000"">aš</font>-<font color=""#690000"">ti</font>-<font color=""#c30000"">ik</font></qt>"
ha-áš-tu4-uk,haas~tuuk,mE,honour-PASS.PTCP,Sg.,3rd Anim.,,"-k, -du",,,haštu-,581,x,,,,-k-;ii,,,verehrt,1,to honour,1,,f,,,,,,,verb,"ha-aš-du-uk, ha-áš-tu-uk, ha-aš-ti-ik, áš-tuk",,,,,,1,"<qt><font color=""#690000"">ha</font>-<font color=""#9b0000"">áš</font>-<font color=""#b40000"">tu<sub><small>4</small></sub></font>-<font color=""#9b0000"">uk</font></qt>"
ha-áš-tu4-uk-ú-ri-me,haas~tuukurime,mE,honour-PASS.PTCP-1SG-3SG.AGR-INANIM.AGR,Sg.,3rd Anim.,,"-k, -du",,,haštu-,NOT PRESENT,IN HK,,,,,,,,,,,,,,,,,,,verb,"ha-aš-du-uk, ha-áš-tu-uk, ha-aš-ti-ik, áš-tuk",,,,,,1,
